STATEFP,COUNTYFP,TRACTCE,PUMA5CE
01,015,001000,00800
01,015,001101,00800
01,015,001102,00800
01,015,001103,00800
01,015,001201,00800
01,015,001202,00800
01,015,001300,00800
01,015,001400,00800
01,015,001501,00800
01,015,001502,00800
01,015,001600,00800
01,015,001700,00800
01,015,001801,00800
01,015,001802,00800
01,015,002001,00800
01,015,002002,00800
01,015,002101,00800
01,015,002102,00800
01,015,002104,00800
01,015,002105,00800
01,015,002200,00800
01,015,002300,00800
01,015,002400,00800
01,015,002502,00800
01,015,002503,00800
01,015,002504,00800
01,015,002600,00800
01,015,981901,00800
01,015,981902,00800
01,015,981903,00800
01,017,953800,02000
01,017,953900,02000
01,017,954001,02000
01,017,954002,02000
01,017,954200,02000
01,017,954300,02000
01,017,954600,02000
01,017,954700,02000
01,017,954800,02000
01,019,955701,00700
01,019,955702,00700
01,019,955801,00700
01,019,955802,00700
01,019,955900,00700
01,019,956000,00700
01,019,956101,00700
01,019,956102,00700
01,021,060101,01502
01,021,060103,01502
01,021,060104,01502
01,021,060200,01502
01,021,060300,01502
01,021,060401,01502
01,021,060403,01502
01,021,060404,01502
01,021,060500,01502
01,021,060600,01502
01,021,060701,01502
01,021,060702,01502
01,023,956700,02600
01,023,956800,02600
01,023,956900,02600
01,023,957000,02600
01,025,957500,02600
01,025,957601,02600
01,025,957603,02600
01,025,957604,02600
01,025,957700,02600
01,025,957800,02600
01,025,957901,02600
01,025,957902,02600
01,025,958003,02600
01,027,958900,01600
01,027,959000,01600
01,027,959100,01600
01,027,959200,01600
01,029,959500,01600
01,029,959600,01600
01,029,959700,01600
01,029,959800,01600
01,031,010100,02400
01,031,010200,02400
01,031,010300,02400
01,031,010400,02400
01,031,010500,02400
01,031,010600,02400
01,031,010700,02400
01,031,010800,02400
01,031,010900,02400
01,031,011000,02400
01,031,011100,02400
01,031,011203,02400
01,031,011204,02400
01,031,011205,02400
01,031,011206,02400
01,031,011300,02400
01,033,020100,00100
01,033,020200,00100
01,033,020300,00100
01,033,020400,00100
01,033,020500,00100
01,033,020600,00100
01,033,020703,00100
01,033,020704,00100
01,033,020705,00100
01,033,020706,00100
01,033,020801,00100
01,033,020802,00100
01,033,020901,00100
01,033,020902,00100
01,033,021000,00100
01,035,960200,02600
01,035,960300,02600
01,035,960400,02600
01,035,960500,02600
01,035,960600,02600
01,037,961000,02000
01,037,961100,02000
01,037,961200,02000
01,039,961600,02500
01,039,961700,02500
01,039,961800,02500
01,039,961900,02500
01,039,962000,02500
01,039,962100,02500
01,039,962300,02500
01,039,962400,02500
01,039,962500,02500
01,039,962600,02500
01,039,962700,02500
01,039,962800,02500
01,039,962900,02500
01,039,963000,02500
01,041,963400,02500
01,041,963500,02500
01,041,963600,02500
01,041,963700,02500
01,041,963800,02500
01,041,963900,02500
01,043,964100,01000
01,043,964201,01000
01,043,964202,01000
01,043,964300,01000
01,043,964400,01000
01,043,964500,01000
01,043,964600,01000
01,043,964700,01000
01,043,964800,01000
01,043,964901,01000
01,043,964902,01000
01,043,965001,01000
01,043,965002,01000
01,043,965100,01000
01,043,965200,01000
01,043,965300,01000
01,043,965401,01000
01,043,965402,01000
01,043,965501,01000
01,043,965502,01000
01,043,965600,01000
01,043,965700,01000
01,045,020000,02400
01,045,020100,02400
01,045,020200,02400
01,045,020300,02400
01,045,020400,02400
01,045,020500,02400
01,045,020700,02400
01,045,020801,02400
01,045,020802,02400
01,045,021101,02400
01,045,021102,02400
01,045,021200,02400
01,045,021300,02400
01,045,021400,02400
01,047,956101,01700
01,047,956102,01700
01,047,956201,01700
01,047,956202,01700
01,047,956300,01700
01,047,956400,01700
01,047,956500,01700
01,047,956600,01700
01,047,956701,01700
01,047,956702,01700
01,047,956800,01700
01,047,956900,01700
01,047,957000,01700
01,047,957100,01700
01,047,957200,01700
01,047,957301,01700
01,047,957302,01700
01,049,960101,00600
01,049,960102,00600
01,049,960200,00600
01,049,960301,00600
01,049,960302,00600
01,049,960303,00600
01,049,960401,00600
01,049,960402,00600
01,049,960500,00600
01,049,960601,00600
01,049,960602,00600
01,049,960701,00600
01,049,960702,00600
01,049,960703,00600
01,049,960800,00600
01,049,960900,00600
01,049,961000,00600
01,049,961100,00600
01,049,961200,00600
01,049,961300,00600
01,049,961400,00600
01,051,030101,01901
01,051,030102,01901
01,051,030103,01901
01,051,030200,01901
01,051,030300,01901
01,051,030401,01901
01,051,030402,01901
01,051,030500,01901
01,051,030600,01901
01,051,030701,01901
01,051,030702,01901
01,051,030801,01901
01,051,030802,01901
01,051,030901,01901
01,051,030902,01901
01,051,031001,01901
01,051,031002,01901
01,051,031100,01901
01,051,031200,01901
01,051,031300,01901
01,053,969801,02600
01,053,969802,02600
01,053,969900,02600
01,053,970100,02600
01,053,970200,02600
01,053,970300,02600
01,053,970400,02600
01,053,970500,02600
01,053,970600,02600
01,053,970700,02600
01,055,000200,00700
01,055,000300,00700
01,055,000400,00700
01,055,000500,00700
01,055,000600,00700
01,055,000700,00700
01,055,000800,00700
01,055,000900,00700
01,055,001000,00700
01,055,001100,00700
01,055,001200,00700
01,055,001300,00700
01,055,001600,00700
01,055,001700,00700
01,055,010100,00700
01,055,010201,00700
01,055,010202,00700
01,055,010300,00700
01,055,010401,00700
01,055,010402,00700
01,055,010503,00700
01,055,010504,00700
01,055,010505,00700
01,055,010506,00700
01,055,010601,00700
01,055,010602,00700
01,055,010700,00700
01,055,010800,00700
01,055,010900,00700
01,055,011001,00700
01,055,011002,00700
01,055,011100,00700
01,055,011200,00700
01,057,020000,01100
01,057,020100,01100
01,057,020200,01100
01,057,020300,01100
01,057,020400,01100
01,059,972900,00100
01,059,973000,00100
01,059,973100,00100
01,059,973200,00100
01,059,973300,00100
01,059,973400,00100
01,059,973500,00100
01,059,973600,00100
01,059,973701,00100
01,059,973702,00100
01,059,973703,00100
01,061,050100,02300
01,061,050200,02300
01,061,050300,02300
01,061,050400,02300
01,061,050500,02300
01,061,050600,02300
01,063,060000,01100
01,063,060101,01100
01,063,060102,01100
01,063,060200,01100
01,065,040000,01100
01,065,040100,01100
01,065,040200,01100
01,065,040300,01100
01,065,040401,01100
01,065,040402,01100
01,065,040500,01100
01,067,030100,02300
01,067,030200,02300
01,067,030300,02300
01,067,030400,02300
01,067,030500,02300
01,067,030600,02300
01,069,040100,02300
01,069,040203,02300
01,069,040204,02300
01,069,040205,02300
01,069,040206,02300
01,069,040301,02300
01,069,040302,02300
01,069,040400,02300
01,069,040500,02300
01,069,040600,02300
01,069,040700,02300
01,069,040801,02300
01,069,040802,02300
01,069,040900,02300
01,069,041000,02300
01,069,041100,02300
01,069,041200,02300
01,069,041400,02300
01,069,041500,02300
01,069,041600,02300
01,069,041700,02300
01,069,041800,02300
01,069,041901,02300
01,069,041902,02300
01,069,042000,02300
01,069,042100,02300
01,071,950101,00600
01,071,950102,00600
01,071,950200,00600
01,071,950301,00600
01,071,950302,00600
01,071,950400,00600
01,071,950500,00600
01,071,950601,00600
01,071,950602,00600
01,071,950700,00600
01,071,950800,00600
01,071,950901,00600
01,071,950902,00600
01,071,951000,00600
01,071,951101,00600
01,071,951102,00600
01,073,000100,01403
01,073,000300,01403
01,073,000400,01403
01,073,000500,01403
01,073,000700,01403
01,073,000800,01403
01,073,001100,01403
01,073,001200,01403
01,073,001400,01403
01,073,001500,01403
01,073,001600,01403
01,073,001902,01403
01,073,002000,01403
01,073,002100,01403
01,073,002200,01403
01,073,002303,01403
01,073,002305,01403
01,073,002306,01403
01,073,002401,01403
01,073,002402,01403
01,073,002701,01403
01,073,002702,01403
01,073,002900,01403
01,073,003001,01403
01,073,003002,01403
01,073,003100,01403
01,073,003200,01403
01,073,003300,01403
01,073,003400,01403
01,073,003500,01403
01,073,003600,01403
01,073,003700,01403
01,073,003802,01403
01,073,003803,01403
01,073,003900,01403
01,073,004000,01403
01,073,004200,01403
01,073,004501,01403
01,073,004502,01403
01,073,004701,01403
01,073,004702,01403
01,073,004800,01403
01,073,004901,01403
01,073,004902,01403
01,073,005000,01403
01,073,005101,01403
01,073,005103,01403
01,073,005104,01403
01,073,005200,01403
01,073,005302,01403
01,073,005500,01403
01,073,005600,01403
01,073,005701,01403
01,073,005702,01403
01,073,005800,01404
01,073,005903,01403
01,073,005905,01403
01,073,005907,01402
01,073,005908,01402
01,073,005909,01402
01,073,005910,01402
01,073,010001,01401
01,073,010002,01401
01,073,010100,01401
01,073,010200,01401
01,073,010301,01401
01,073,010302,01401
01,073,010401,01401
01,073,010402,01401
01,073,010500,01403
01,073,010603,01403
01,073,010604,01403
01,073,010605,01403
01,073,010701,01404
01,073,010702,01404
01,073,010703,01404
01,073,010704,01404
01,073,010705,01404
01,073,010706,01404
01,073,010801,01404
01,073,010802,01404
01,073,010803,01404
01,073,010804,01404
01,073,010806,01404
01,073,010807,01404
01,073,010900,01403
01,073,011002,01404
01,073,011003,01404
01,073,011004,01404
01,073,011108,01402
01,073,011109,01402
01,073,011110,01402
01,073,011112,01402
01,073,011113,01402
01,073,011114,01402
01,073,011115,01402
01,073,011116,01402
01,073,011117,01402
01,073,011205,01402
01,073,011206,01301
01,073,011207,01402
01,073,011208,01402
01,073,011209,01402
01,073,011210,01402
01,073,011301,01301
01,073,011303,01301
01,073,011304,01301
01,073,011401,01301
01,073,011402,01301
01,073,011500,01301
01,073,011600,01301
01,073,011704,01402
01,073,011706,01402
01,073,011707,01402
01,073,011708,01402
01,073,011709,01402
01,073,011710,01402
01,073,011803,01402
01,073,011804,01402
01,073,011805,01402
01,073,011806,01402
01,073,011901,01402
01,073,011904,01403
01,073,012001,01402
01,073,012003,01402
01,073,012004,01402
01,073,012103,01301
01,073,012104,01301
01,073,012200,01401
01,073,012302,01401
01,073,012304,01401
01,073,012306,01401
01,073,012307,01401
01,073,012401,01301
01,073,012402,01301
01,073,012403,01301
01,073,012500,01401
01,073,012602,01404
01,073,012701,01404
01,073,012703,01404
01,073,012704,01404
01,073,012802,01404
01,073,012804,01404
01,073,012805,01404
01,073,012905,01404
01,073,012907,01404
01,073,012908,01404
01,073,012910,01404
01,073,012911,01404
01,073,012913,01404
01,073,012914,01404
01,073,012916,01404
01,073,012917,01404
01,073,012918,01404
01,073,012919,01404
01,073,012920,01404
01,073,012921,01404
01,073,013002,01403
01,073,013100,01403
01,073,013200,01403
01,073,013300,01403
01,073,013400,01403
01,073,013601,01401
01,073,013801,01401
01,073,013901,01401
01,073,013902,01401
01,073,014001,01401
01,073,014002,01401
01,073,014104,01401
01,073,014105,01401
01,073,014106,01401
01,073,014107,01401
01,073,014205,01401
01,073,014206,01401
01,073,014207,01401
01,073,014208,01401
01,073,014209,01401
01,073,014301,01401
01,073,014303,01401
01,073,014304,01401
01,073,014404,01404
01,073,014405,01404
01,073,014406,01404
01,073,014408,01404
01,073,014409,01404
01,073,014410,01404
01,073,014412,01404
01,073,014414,01404
01,073,014415,01404
01,075,030000,01100
01,075,030101,01100
01,075,030102,01100
01,075,030200,01100
01,077,010100,00100
01,077,010200,00100
01,077,010300,00100
01,077,010400,00100
01,077,010600,00100
01,077,010700,00100
01,077,010800,00100
01,077,010901,00100
01,077,010902,00100
01,077,011000,00100
01,077,011101,00100
01,077,011102,00100
01,077,011200,00100
01,077,011300,00100
01,077,011401,00100
01,077,011402,00100
01,077,011502,00100
01,077,011503,00100
01,077,011504,00100
01,077,011602,00100
01,077,011603,00100
01,077,011605,00100
01,077,011606,00100
01,077,011700,00100
01,077,011801,00100
01,077,011802,00100
01,079,979100,00300
01,079,979201,00300
01,079,979202,00300
01,079,979300,00300
01,079,979400,00300
01,079,979501,00300
01,079,979502,00300
01,079,979600,00300
01,079,979700,00300
01,079,979800,00300
01,079,979900,00300
01,081,040201,02101
01,081,040202,02101
01,081,040300,02101
01,081,040401,02101
01,081,040402,02101
01,081,040403,02101
01,081,040501,02101
01,081,040502,02101
01,081,040602,02101
01,081,040603,02101
01,081,040605,02101
01,081,040606,02101
01,081,040607,02101
01,081,040700,02101
01,081,040801,02101
01,081,040802,02101
01,081,040901,02101
01,081,040903,02101
01,081,040904,02101
01,081,041001,02101
01,081,041002,02101
01,081,041101,02101
01,081,041102,02101
01,081,041103,02101
01,081,041104,02101
01,081,041200,02101
01,081,041300,02101
01,081,041400,02101
01,081,041600,02101
01,081,041701,02101
01,081,041702,02101
01,081,041703,02101
01,081,041801,02101
01,081,041802,02201
01,081,041803,02201
01,081,041901,02201
01,081,041902,02201
01,081,041903,02201
01,081,042002,02201
01,081,042003,02201
01,081,042005,02201
01,081,042006,02201
01,081,042007,02201
01,081,042008,02201
01,081,042009,02201
01,081,042101,02101
01,081,042103,02201
01,081,042104,02101
01,083,020101,00200
01,083,020103,00200
01,083,020104,00200
01,083,020201,00200
01,083,020202,00200
01,083,020300,00200
01,083,020402,00200
01,083,020403,00200
01,083,020404,00200
01,083,020500,00200
01,083,020600,00200
01,083,020700,00200
01,083,020803,00200
01,083,020804,00200
01,083,020805,00200
01,083,020806,00200
01,083,020900,00200
01,083,021000,00200
01,083,021101,00200
01,083,021102,00200
01,083,021201,00200
01,083,021202,00200
01,083,021203,00200
01,085,780800,01700
01,085,781000,01700
01,085,781100,01700
01,085,781200,01700
01,087,231400,02000
01,087,231500,02000
01,087,231601,02000
01,087,231602,02000
01,087,231603,02000
01,087,231700,02000
01,087,231800,02000
01,087,231900,02000
01,087,232000,02000
01,087,232100,02000
01,087,232200,02000
01,087,232300,02000
01,089,000203,00403
01,089,000301,00402
01,089,000302,00402
01,089,000403,00402
01,089,000501,00402
01,089,000502,00402
01,089,000503,00402
01,089,000601,00402
01,089,000602,00402
01,089,000701,00402
01,089,000702,00402
01,089,000901,00403
01,089,000902,00403
01,089,001000,00403
01,089,001200,00403
01,089,001301,00402
01,089,001302,00402
01,089,001401,00402
01,089,001403,00402
01,089,001404,00402
01,089,001500,00402
01,089,001700,00403
01,089,001801,00403
01,089,001901,00403
01,089,001902,00403
01,089,001903,00403
01,089,002000,00403
01,089,002100,00403
01,089,002200,00403
01,089,002300,00403
01,089,002400,00403
01,089,002501,00403
01,089,002502,00403
01,089,002600,00403
01,089,002701,00403
01,089,002721,00403
01,089,002722,00403
01,089,002801,00403
01,089,002803,00403
01,089,002804,00403
01,089,002911,00403
01,089,002912,00403
01,089,002922,00403
01,089,002923,00403
01,089,002924,00403
01,089,003000,00403
01,089,003100,00403
01,089,010101,00401
01,089,010102,00401
01,089,010200,00401
01,089,010302,00401
01,089,010303,00401
01,089,010304,00401
01,089,010403,00401
01,089,010404,00401
01,089,010405,00401
01,089,010406,00401
01,089,010502,00401
01,089,010503,00401
01,089,010504,00401
01,089,010612,00402
01,089,010623,00402
01,089,010625,00402
01,089,010626,00402
01,089,010627,00402
01,089,010628,00402
01,089,010629,00402
01,089,010630,00402
01,089,010631,00402
01,089,010703,00401
01,089,010704,00401
01,089,010705,00401
01,089,010706,00401
01,089,010801,00401
01,089,010802,00401
01,089,010902,00401
01,089,010903,00401
01,089,010904,00401
01,089,010905,00401
01,089,011012,00402
01,089,011013,00402
01,089,011021,00402
01,089,011023,00402
01,089,011024,00402
01,089,011025,00402
01,089,011026,00402
01,089,011027,00402
01,089,011028,00402
01,089,011100,00402
01,089,011201,00402
01,089,011202,00402
01,089,011203,00402
01,089,011301,00501
01,089,011302,00501
01,089,011400,00501
01,091,972901,01100
01,091,972902,01100
01,091,973001,01100
01,091,973002,01100
01,091,973100,01100
01,091,973200,01100
01,091,973300,01100
01,091,973400,01100
01,093,964001,01000
01,093,964002,01000
01,093,964100,01000
01,093,964200,01000
01,093,964300,01000
01,093,964401,01000
01,093,964402,01000
01,093,964500,01000
01,093,964600,01000
01,093,964701,01000
01,093,964702,01000
01,095,030101,00501
01,095,030102,00501
01,095,030203,00501
01,095,030204,00501
01,095,030205,00501
01,095,030206,00501
01,095,030301,00501
01,095,030302,00501
01,095,030401,00501
01,095,030402,00501
01,095,030501,00501
01,095,030502,00501
01,095,030601,00501
01,095,030602,00501
01,095,030701,00501
01,095,030702,00501
01,095,030801,00501
01,095,030803,00501
01,095,030804,00501
01,095,030902,00501
01,095,030903,00501
01,095,030904,00501
01,095,031001,00501
01,095,031002,00501
01,095,031100,00501
01,095,031200,00501
01,097,000200,02803
01,097,000401,02803
01,097,000402,02803
01,097,000500,02803
01,097,000600,02803
01,097,000701,02803
01,097,000702,02803
01,097,000801,02803
01,097,000802,02803
01,097,000901,02803
01,097,000902,02803
01,097,000903,02803
01,097,001001,02803
01,097,001002,02803
01,097,001100,02803
01,097,001200,02803
01,097,001302,02803
01,097,001400,02803
01,097,001501,02803
01,097,001502,02803
01,097,001800,02803
01,097,001901,02803
01,097,001902,02803
01,097,002000,02803
01,097,002100,02803
01,097,002200,02803
01,097,002301,02803
01,097,002302,02803
01,097,002400,02803
01,097,002501,02803
01,097,002502,02803
01,097,002600,02803
01,097,002700,02803
01,097,002800,02803
01,097,002900,02803
01,097,003000,02803
01,097,003100,02803
01,097,003202,02803
01,097,003203,02803
01,097,003205,02803
01,097,003206,02803
01,097,003207,02803
01,097,003301,02803
01,097,003302,02803
01,097,003402,02803
01,097,003404,02802
01,097,003405,02802
01,097,003406,02803
01,097,003408,02802
01,097,003409,02802
01,097,003410,02802
01,097,003501,02803
01,097,003502,02803
01,097,003602,02802
01,097,003606,02802
01,097,003607,02802
01,097,003608,02802
01,097,003703,02802
01,097,003704,02802
01,097,003705,02802
01,097,003706,02802
01,097,003707,02802
01,097,003708,02802
01,097,003710,02802
01,097,003711,02802
01,097,003712,02802
01,097,003800,02801
01,097,003901,02803
01,097,003902,02803
01,097,004000,02803
01,097,004100,02803
01,097,004800,02803
01,097,004900,02803
01,097,005000,02803
01,097,005100,02803
01,097,005200,02803
01,097,005300,02803
01,097,005400,02803
01,097,005500,02801
01,097,005601,02801
01,097,005602,02801
01,097,005701,02801
01,097,005702,02801
01,097,005800,02801
01,097,005900,02801
01,097,006000,02801
01,097,006102,02801
01,097,006103,02801
01,097,006104,02801
01,097,006106,02801
01,097,006107,02801
01,097,006201,02801
01,097,006202,02801
01,097,006303,02801
01,097,006304,02801
01,097,006305,02801
01,097,006306,02801
01,097,006307,02801
01,097,006402,02802
01,097,006403,02802
01,097,006407,02801
01,097,006408,02802
01,097,006409,02802
01,097,006410,02802
01,097,006411,02802
01,097,006412,02801
01,097,006413,02801
01,097,006501,02801
01,097,006503,02801
01,097,006504,02801
01,097,006505,02801
01,097,006600,02801
01,097,006702,02801
01,097,006703,02801
01,097,006704,02801
01,097,006802,02802
01,097,006803,02802
01,097,006804,02802
01,097,006902,02802
01,097,006903,02802
01,097,006904,02802
01,097,007000,02802
01,097,007101,02802
01,097,007102,02802
01,097,007103,02802
01,097,007201,02801
01,097,007203,02801
01,097,007204,02801
01,097,007300,02801
01,097,007400,02803
01,097,007500,02803
01,097,007600,02803
01,097,007700,02803
01,097,980000,02802
01,097,990000,02801
01,099,075600,02600
01,099,075700,02600
01,099,075800,02600
01,099,075901,02600
01,099,075902,02600
01,099,076000,02600
01,099,076101,02600
01,099,076102,02600
01,099,076200,02600
01,101,000100,01801
01,101,000200,01801
01,101,000300,01801
01,101,000400,01801
01,101,000500,01801
01,101,000600,01801
01,101,000700,01801
01,101,000900,01801
01,101,001000,01801
01,101,001100,01801
01,101,001200,01801
01,101,001300,01801
01,101,001400,01801
01,101,001500,01801
01,101,001600,01801
01,101,001700,01801
01,101,001800,01801
01,101,001900,01801
01,101,002000,01801
01,101,002100,01801
01,101,002201,01801
01,101,002202,01801
01,101,002300,01801
01,101,002400,01801
01,101,002500,01801
01,101,002600,01802
01,101,002700,01802
01,101,002800,01801
01,101,002901,01801
01,101,002902,01801
01,101,003000,01801
01,101,003100,01801
01,101,003200,01801
01,101,003301,01801
01,101,003303,01802
01,101,003304,01802
01,101,005101,01802
01,101,005102,01801
01,101,005301,01801
01,101,005302,01802
01,101,005402,01802
01,101,005403,01802
01,101,005407,01802
01,101,005409,01802
01,101,005410,01802
01,101,005411,01802
01,101,005412,01802
01,101,005413,01802
01,101,005414,01802
01,101,005501,01901
01,101,005502,01802
01,101,005503,01802
01,101,005504,01901
01,101,005604,01901
01,101,005605,01802
01,101,005606,01802
01,101,005607,01802
01,101,005608,01802
01,101,005609,01802
01,101,005610,01802
01,101,005611,01802
01,101,005612,01802
01,101,005613,01802
01,101,005614,01802
01,101,005700,01901
01,101,005800,01901
01,101,005902,01801
01,101,005903,01901
01,101,005904,01801
01,101,006000,01801
01,101,006100,01801
01,103,000100,00300
01,103,000200,00300
01,103,000300,00300
01,103,000400,00300
01,103,000600,00300
01,103,000700,00300
01,103,000800,00300
01,103,000900,00300
01,103,001000,00300
01,103,005101,00300
01,103,005103,00300
01,103,005105,00300
01,103,005106,00300
01,103,005107,00300
01,103,005108,00300
01,103,005109,00300
01,103,005201,00300
01,103,005202,00300
01,103,005302,00300
01,103,005303,00300
01,103,005304,00300
01,103,005305,00300
01,103,005306,00300
01,103,005404,00300
01,103,005405,00300
01,103,005500,00300
01,103,005601,00300
01,103,005602,00300
01,103,005701,00300
01,103,005703,00300
01,103,005704,00300
01,105,686800,01700
01,105,687001,01700
01,105,687002,01700
01,105,687100,01700
01,107,050000,01100
01,107,050100,01100
01,107,050200,01100
01,107,050300,01100
01,107,050401,01100
01,107,050402,01100
01,109,188600,02500
01,109,188700,02500
01,109,188800,02500
01,109,188900,02500
01,109,189001,02500
01,109,189002,02500
01,109,189003,02500
01,109,189101,02500
01,109,189102,02500
01,109,189200,02500
01,109,189300,02500
01,111,000100,01600
01,111,000200,01600
01,111,000300,01600
01,111,000400,01600
01,111,000500,01600
01,111,000600,01600
01,113,030200,02201
01,113,030300,02201
01,113,030402,02201
01,113,030403,02201
01,113,030404,02201
01,113,030500,02201
01,113,030601,02201
01,113,030602,02201
01,113,030700,02201
01,113,030800,02201
01,113,030903,02201
01,113,030904,02201
01,113,030905,02201
01,113,030906,02201
01,113,030907,02201
01,113,031000,02201
01,113,031100,02201
01,113,031200,02201
01,115,040104,00900
01,115,040105,00900
01,115,040107,00900
01,115,040108,00900
01,115,040109,00900
01,115,040110,00900
01,115,040206,00900
01,115,040207,00900
01,115,040208,00900
01,115,040209,00900
01,115,040210,00900
01,115,040211,00900
01,115,040212,00900
01,115,040213,00900
01,115,040301,00900
01,115,040302,00900
01,115,040401,00900
01,115,040402,00900
01,115,040503,00900
01,115,040504,00900
01,115,040505,00900
01,115,040506,00900
01,115,040507,00900
01,115,040508,00900
01,117,030102,01502
01,117,030103,01502
01,117,030211,01501
01,117,030212,01501
01,117,030215,01502
01,117,030216,01501
01,117,030218,01502
01,117,030219,01502
01,117,030220,01501
01,117,030221,01501
01,117,030304,01501
01,117,030305,01501
01,117,030306,01501
01,117,030314,01501
01,117,030315,01501
01,117,030316,01501
01,117,030317,01501
01,117,030319,01501
01,117,030320,01501
01,117,030330,01501
01,117,030331,01501
01,117,030336,01501
01,117,030337,01501
01,117,030340,01501
01,117,030341,01501
01,117,030345,01501
01,117,030346,01501
01,117,030347,01501
01,117,030348,01501
01,117,030349,01501
01,117,030350,01501
01,117,030351,01501
01,117,030352,01501
01,117,030405,01502
01,117,030406,01502
01,117,030407,01502
01,117,030408,01502
01,117,030502,01502
01,117,030503,01502
01,117,030504,01502
01,117,030607,01501
01,117,030610,01502
01,117,030611,01502
01,117,030612,01502
01,117,030613,01502
01,117,030614,01502
01,117,030615,01502
01,117,030616,01501
01,117,030701,01502
01,117,030703,01502
01,117,030704,01502
01,117,030800,01502
01,117,030900,01501
01,117,980000,01501
01,117,980100,01501
01,119,011301,01100
01,119,011302,01100
01,119,011400,01100
01,119,011500,01100
01,119,011600,01100
01,121,010101,01600
01,121,010102,01600
01,121,010201,01600
01,121,010202,01600
01,121,010301,01600
01,121,010302,01600
01,121,010400,01600
01,121,010500,01600
01,121,010600,01600
01,121,010700,01600
01,121,010900,01600
01,121,011000,01600
01,121,011100,01600
01,121,011200,01600
01,121,011301,01600
01,121,011302,01600
01,121,011400,01600
01,121,011501,01600
01,121,011502,01600
01,121,011600,01600
01,121,011700,01600
01,121,011800,01600
01,121,011900,01600
01,121,012000,01600
01,123,961900,02000
01,123,962000,02000
01,123,962100,02000
01,123,962200,02000
01,123,962301,02000
01,123,962302,02000
01,123,962400,02000
01,123,962501,02000
01,123,962502,02000
01,123,962600,02000
01,123,962701,02000
01,123,962702,02000
01,125,010101,01201
01,125,010102,01201
01,125,010104,01201
01,125,010105,01201
01,125,010201,01201
01,125,010203,01201
01,125,010204,01202
01,125,010205,01201
01,125,010206,01202
01,125,010302,01201
01,125,010303,01201
01,125,010304,01201
01,125,010305,01201
01,125,010403,01202
01,125,010404,01202
01,125,010405,01202
01,125,010406,01202
01,125,010407,01202
01,125,010500,01202
01,125,010601,01201
01,125,010603,01201
01,125,010604,01201
01,125,010703,01201
01,125,010704,01201
01,125,010705,01201
01,125,010706,01201
01,125,010707,01201
01,125,010802,01202
01,125,010803,01202
01,125,010804,01202
01,125,011200,01202
01,125,011401,01202
01,125,011402,01202
01,125,011600,01202
01,125,011701,01202
01,125,011703,01202
01,125,011800,01202
01,125,011901,01202
01,125,011902,01202
01,125,012001,01202
01,125,012002,01202
01,125,012101,01202
01,125,012102,01202
01,125,012304,01202
01,125,012305,01202
01,125,012306,01202
01,125,012307,01202
01,125,012403,01202
01,125,012404,01202
01,125,012406,01202
01,125,012407,01202
01,125,012408,01202
01,125,012501,01201
01,125,012503,01201
