USPS	GEOID	ANSICODE	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                               
CO	08033	00198132	Dolores County	2763645279	2716141	    1067.049	       1.049	 37.747602	-108.530383                                                                                                    
CO	08035	00198133	Douglas County	2176207910	6769100	     840.239	       2.614	 39.326435	-104.926199                                                                                                    
CO	08037	00198134	Eagle County	4362916056	18803966	    1684.531	       7.260	 39.630638	-106.692944                                                                                                     
CO	08039	00198136	Elbert County	4793688729	442148	    1850.854	       0.171	 39.310582	-104.117729                                                                                                      
CO	08041	00198135	El Paso County	5508460909	7111548	    2126.829	       2.746	 38.827383	-104.527472                                                                                                    
CO	08043	00198137	Fremont County	3970604102	2235391	    1533.059	       0.863	 38.455658	-105.421438                                                                                                    
CO	08045	00198138	Garfield County	7634471698	21430626	    2947.686	       8.274	 39.599352	-107.909780                                                                                                  
CO	08047	00198139	Gilpin County	388229141	941898	     149.896	       0.364	 39.861082	-105.528947                                                                                                       
CO	08049	00198140	Grand County	4781807818	60250181	    1846.266	      23.263	 40.123289	-106.095876                                                                                                     
CO	08051	00198141	Gunnison County	8389491951	53067063	    3239.201	      20.489	 38.669679	-107.078108                                                                                                  
CO	08053	00198142	Hinsdale County	2893573835	15324680	    1117.215	       5.917	 37.811667	-107.383335                                                                                                  
CO	08055	00198143	Huerfano County	4120753930	5792107	    1591.032	       2.236	 37.687815	-104.959928                                                                                                   
CO	08057	00198144	Jackson County	4179563675	18750018	    1613.739	       7.239	 40.663432	-106.329248                                                                                                   
CO	08059	00198145	Jefferson County	1979243247	25485250	     764.190	       9.840	 39.576572	-105.251249                                                                                                 
CO	08061	00198146	Kiowa County	4578600049	47032937	    1767.807	      18.160	 38.388466	-102.756210                                                                                                     
CO	08063	00198147	Kit Carson County	5596501541	2251930	    2160.821	       0.869	 39.305340	-102.603023                                                                                                 
CO	08065	00198149	Lake County	976206766	18110615	     376.916	       6.993	 39.205341	-106.350079                                                                                                       
CO	08067	00198148	La Plata County	4382658416	19545450	    1692.154	       7.547	 37.287367	-107.839718                                                                                                  
CO	08069	00198150	Larimer County	6723779313	98113981	    2596.066	      37.882	 40.663091	-105.482131                                                                                                   
CO	08071	00198151	Las Animas County	12361253683	6929976	    4772.707	       2.676	 37.318831	-104.044110                                                                                                
CO	08073	00198152	Lincoln County	6676208280	22780444	    2577.699	       8.796	 38.993740	-103.507555                                                                                                   
CO	08075	00198153	Logan County	4762050035	16363552	    1838.638	       6.318	 40.728091	-103.090464                                                                                                     
CO	08077	00198154	Mesa County	8622131029	31435336	    3329.024	      12.137	 39.019492	-108.461837                                                                                                      
CO	08079	00198155	Mineral County	2268230027	5222170	     875.769	       2.016	 37.651478	-106.932300                                                                                                    
CO	08081	00198156	Moffat County	12284921637	19806932	    4743.235	       7.647	 40.573984	-108.204521                                                                                                   
CO	08083	00198157	Montezuma County	5256407750	27516850	    2029.510	      10.624	 37.338025	-108.595786                                                                                                 
CO	08085	00198158	Montrose County	5803398598	4923261	    2240.705	       1.901	 38.413427	-108.263042                                                                                                   
CO	08087	00198159	Morgan County	3316112929	34663780	    1280.358	      13.384	 40.262540	-103.807497                                                                                                    
CO	08089	00198160	Otero County	3268485084	20052353	    1261.969	       7.742	 37.884170	-103.721260                                                                                                     
CO	08091	00198161	Ouray County	1402725842	1599543	     541.595	       0.618	 38.150600	-107.767133                                                                                                      
CO	08093	00198162	Park County	5682134218	43530467	    2193.884	      16.807	 39.118914	-105.717648                                                                                                      
CO	08095	00198163	Phillips County	1781724999	301808	     687.928	       0.117	 40.594712	-102.345105                                                                                                    
CO	08097	00198164	Pitkin County	2514071663	6469378	     970.689	       2.498	 39.217533	-106.915943                                                                                                     
CO	08099	00198165	Prowers County	4243419913	15352633	    1638.394	       5.928	 37.958181	-102.392161                                                                                                   
CO	08101	00198166	Pueblo County	6179976224	30284066	    2386.102	      11.693	 38.170658	-104.489892                                                                                                    
CO	08103	00198167	Rio Blanco County	8342198615	4868111	    3220.941	       1.880	 39.972606	-108.200685                                                                                                 
CO	08105	00198168	Rio Grande County	2361929110	984917	     911.946	       0.380	 37.485763	-106.453214                                                                                                  
CO	08107	00198169	Routt County	6117633825	15831696	    2362.032	       6.113	 40.483155	-106.985274                                                                                                     
CO	08109	00198170	Saguache County	8207226426	4454545	    3168.828	       1.720	 38.031651	-106.234666                                                                                                   
CO	08111	00198171	San Juan County	1003640124	2035929	     387.508	       0.786	 37.781074	-107.670257                                                                                                   
CO	08113	00198172	San Miguel County	3332207690	5213860	    1286.573	       2.013	 38.009374	-108.427326                                                                                                 
CO	08115	00198173	Sedgwick County	1419419287	3530746	     548.041	       1.363	 40.871568	-102.355358                                                                                                   
CO	08117	00198174	Summit County	1575562624	28287714	     608.328	      10.922	 39.621023	-106.137555                                                                                                    
CO	08119	00198175	Teller County	1442738671	4944573	     557.045	       1.909	 38.871994	-105.182552                                                                                                     
CO	08121	00198176	Washington County	6521817532	15207414	    2518.088	       5.872	 39.965790	-103.209744                                                                                                
CO	08123	00198177	Weld County	10326885138	76675362	    3987.233	      29.605	 40.555794	-104.383649                                                                                                     
CO	08125	00198178	Yuma County	6123751576	11134682	    2364.394	       4.299	 40.000631	-102.422649                                                                                                      
CT	09001	00212794	Fairfield County	1618656350	548962070	     624.967	     211.955	 41.227399	 -73.366523                                                                                                
CT	09003	00212338	Hartford County	1903905970	40175606	     735.102	      15.512	 41.806053	 -72.732916                                                                                                  
CT	09005	00212796	Litchfield County	2384268476	62136140	     920.571	      23.991	 41.791883	 -73.235404                                                                                                
CT	09007	00212797	Middlesex County	956491463	180679097	     369.303	      69.761	 41.434525	 -72.524227                                                                                                 
CT	09009	00212798	New Haven County	1565617399	667121651	     604.488	     257.577	 41.349717	 -72.900204                                                                                                
CT	09011	00212799	New London County	1722565037	276696620	     665.086	     106.833	 41.472651	 -72.108633                                                                                               
CT	09013	00212668	Tolland County	1062460554	17686208	     410.218	       6.829	 41.858081	 -72.340978                                                                                                   
CT	09015	00212801	Windham County	1328103280	21849411	     512.784	       8.436	 41.824999	 -71.990702                                                                                                   
DE	10001	00217271	Kent County	1518566194	549100966	     586.322	     212.009	 39.097088	 -75.502982                                                                                                     
DE	10003	00217270	New Castle County	1104074768	175385813	     426.286	      67.717	 39.575915	 -75.644132                                                                                               
DE	10005	00217269	Sussex County	2424426752	674215349	     936.076	     260.316	 38.677511	 -75.335495                                                                                                   
DC	11001	01702382	District of Columbia	158114733	18885011	      61.048	       7.292	 38.904103	 -77.017229                                                                                              
FL	12001	00308548	Alachua County	2266379926	242822115	     875.054	      93.754	 29.675740	 -82.357221                                                                                                  
FL	12003	00306920	Baker County	1515741223	9686120	     585.231	       3.740	 30.324442	 -82.302284                                                                                                      
FL	12005	00295738	Bay County	1964402272	711451415	     758.460	     274.693	 30.237563	 -85.631348                                                                                                      
FL	12007	00303634	Bradford County	761356401	16904945	     293.961	       6.527	 29.952386	 -82.167290                                                                                                   
FL	12009	00295749	Brevard County	2630756061	1401972173	    1015.741	     541.305	 28.298304	 -80.700333                                                                                                 
FL	12011	00295753	Broward County	3131787620	294373674	    1209.190	     113.658	 26.193535	 -80.476683                                                                                                  
FL	12013	00306919	Calhoun County	1469389229	18074797	     567.334	       6.979	 30.388801	 -85.197915                                                                                                   
FL	12015	00295742	Charlotte County	1761971032	460921023	     680.301	     177.963	 26.868933	 -81.941077                                                                                                
FL	12017	00295752	Citrus County	1507012877	495677565	     581.861	     191.382	 28.843628	 -82.524796                                                                                                   
FL	12019	00295726	Clay County	1566397652	100389964	     604.790	      38.761	 29.987115	 -81.858147                                                                                                     
FL	12021	00295754	Collier County	5176000527	793846926	    1998.465	     306.506	 26.118712	 -81.400884                                                                                                  
FL	12023	00306909	Columbia County	2065626701	9773960	     797.543	       3.774	 30.221333	 -82.623168                                                                                                   
FL	12027	00294452	DeSoto County	1649973392	6247258	     637.058	       2.412	 27.190581	 -81.806253                                                                                                     
FL	12029	00295725	Dixie County	1826189927	410653504	     705.096	     158.554	 29.580899	 -83.195666                                                                                                    
FL	12031	00293656	Duval County	1974261462	404535420	     762.267	     156.192	 30.335245	 -81.648113                                                                                                    
FL	12033	00295737	Escambia County	1700653157	564821111	     656.626	     218.079	 30.611648	 -87.338948                                                                                                 
FL	12035	00308547	Flagler County	1257381457	221047055	     485.478	      85.347	 29.474903	 -81.286337                                                                                                  
FL	12037	00306911	Franklin County	1411918710	1275526966	     545.145	     492.484	 29.810176	 -84.799174                                                                                                
FL	12039	00306918	Gadsden County	1337292696	31587825	     516.332	      12.196	 30.579169	 -84.612783                                                                                                   
FL	12041	00303633	Gilchrist County	905695920	14371757	     349.691	       5.549	 29.723456	 -82.795801                                                                                                  
FL	12043	00295743	Glades County	2087825025	468365059	     806.114	     180.837	 26.954810	 -81.190820                                                                                                   
FL	12045	00306917	Gulf County	1433785198	494266690	     553.588	     190.837	 29.907257	 -85.256537                                                                                                     
FL	12047	00295736	Hamilton County	1330689608	13659747	     513.782	       5.274	 30.491226	 -82.951069                                                                                                  
FL	12049	00295746	Hardee County	1651878538	1439671	     637.794	       0.556	 27.492846	 -81.821580                                                                                                     
FL	12051	00307626	Hendry County	2985690805	96440868	    1152.782	      37.236	 26.539967	 -81.152114                                                                                                    
FL	12053	00295751	Hernando County	1223984033	301570065	     472.583	     116.437	 28.567911	 -82.464835                                                                                                 
FL	12055	00295756	Highlands County	2632926652	231678423	    1016.579	      89.452	 27.342627	 -81.340921                                                                                                
FL	12057	00295757	Hillsborough County	2642542220	635652919	    1020.291	     245.427	 27.906590	 -82.349568                                                                                             
FL	12059	00295735	Holmes County	1239970335	26656196	     478.755	      10.292	 30.866222	 -85.812959                                                                                                    
FL	12061	00307624	Indian River County	1302351763	295576120	     502.841	     114.123	 27.700638	 -80.574803                                                                                             
FL	12063	00295734	Jackson County	2376988267	95321518	     917.760	      36.804	 30.789124	 -85.208764                                                                                                   
FL	12065	00295733	Jefferson County	1549064115	99559034	     598.097	      38.440	 30.424558	 -83.890859                                                                                                 
FL	12067	00295732	Lafayette County	1407428355	11646275	     543.411	       4.497	 29.990066	 -83.178510                                                                                                 
FL	12069	00308551	Lake County	2431851860	564670463	     938.943	     218.020	 28.764113	 -81.712282                                                                                                     
FL	12071	00295758	Lee County	2031503438	1108549312	     784.368	     428.013	 26.551527	 -81.892457                                                                                                     
FL	12073	00306916	Leon County	1727171506	90454063	     666.865	      34.925	 30.459310	 -84.277800                                                                                                      
FL	12075	00295724	Levy County	2896185657	762933587	    1118.224	     294.570	 29.284457	 -82.783462                                                                                                     
FL	12077	00308549	Liberty County	2164095805	19582533	     835.562	       7.561	 30.259849	 -84.868580                                                                                                   
FL	12079	00295731	Madison County	1802882064	50729938	     696.097	      19.587	 30.447233	 -83.470416                                                                                                   
FL	12081	00295744	Manatee County	1924443934	387775662	     743.032	     149.721	 27.481386	 -82.365783                                                                                                  
FL	12083	00306922	Marion County	4112980388	193292740	    1588.031	      74.631	 29.202805	 -82.043100                                                                                                   
FL	12085	00308550	Martin County	1407586547	542230750	     543.472	     209.356	 27.079954	 -80.398211                                                                                                   
FL	12086	00295755	Miami-Dade County	4915209608	1381509775	    1897.773	     533.404	 25.610494	 -80.499045                                                                                              
FL	12087	00295759	Monroe County	2546724614	7133323471	     983.296	    2754.192	 25.601043	 -81.206777                                                                                                  
FL	12089	00295730	Nassau County	1679967492	200158799	     648.639	      77.282	 30.605926	 -81.764929                                                                                                   
FL	12091	00306915	Okaloosa County	2409336624	393233165	     930.250	     151.828	 30.665858	 -86.594194                                                                                                 
FL	12093	00295760	Okeechobee County	1991714065	318561578	     769.005	     122.997	 27.385592	 -80.887388                                                                                               
FL	12095	00295750	Orange County	2340130615	258274434	     903.530	      99.720	 28.514435	 -81.323295                                                                                                   
FL	12097	00295748	Osceola County	3438145156	462192021	    1327.475	     178.453	 28.059027	 -81.139312                                                                                                  
FL	12099	00295761	Palm Beach County	5101209743	1070754229	    1969.588	     413.421	 26.645763	 -80.448673                                                                                              
FL	12101	00295739	Pasco County	1935644080	313640895	     747.356	     121.097	 28.307737	 -82.464718                                                                                                    
FL	12103	00295745	Pinellas County	709084833	865960465	     273.779	     334.349	 27.903122	 -82.739518                                                                                                  
FL	12105	00295747	Polk County	4656456198	550880946	    1797.868	     212.696	 27.953115	 -81.692783                                                                                                     
FL	12107	00306910	Putnam County	1885201033	256515549	     727.880	      99.041	 29.606006	 -81.740894                                                                                                   
FL	12109	00308371	St. Johns County	1555714770	572027901	     600.665	     220.861	 29.890655	 -81.383950                                                                                                
FL	12111	00308372	St. Lucie County	1481293514	300896032	     571.931	     116.177	 27.380775	 -80.443364                                                                                                
FL	12113	00306914	Santa Rosa County	2620446121	419623235	    1011.760	     162.017	 30.703633	 -87.014255                                                                                               
FL	12115	00295741	Sarasota County	1439479856	438925025	     555.786	     169.470	 27.184386	 -82.365835                                                                                                 
FL	12117	00303665	Seminole County	801122620	93185225	     309.315	      35.979	 28.690079	 -81.131980                                                                                                   
FL	12119	00295740	Sumter County	1417703460	84037549	     547.378	      32.447	 28.714294	 -82.074715                                                                                                    
FL	12121	00295729	Suwannee County	1783341059	9594284	     688.552	       3.704	 30.189244	 -82.992754                                                                                                   
FL	12123	00295728	Taylor County	2702161332	489261991	    1043.310	     188.905	 30.009908	 -83.609483                                                                                                   
FL	12125	00306913	Union County	630807192	16049105	     243.556	       6.197	 30.054280	 -82.366918                                                                                                      
FL	12127	00306921	Volusia County	2851656212	858329045	    1101.031	     331.403	 29.057698	 -81.161804                                                                                                  
FL	12129	00306912	Wakulla County	1570618858	334903846	     606.419	     129.307	 30.140360	 -84.375117                                                                                                  
FL	12131	00295727	Walton County	2687530730	523004701	    1037.661	     201.933	 30.631211	 -86.176614                                                                                                   
FL	12133	00295762	Washington County	1509507482	85806678	     582.824	      33.130	 30.602217	 -85.662797                                                                                                
GA	13001	00349113	Appling County	1313330435	13420894	     507.080	       5.182	 31.739712	 -82.290103                                                                                                   
GA	13003	00345784	Atkinson County	879043407	13294251	     339.401	       5.133	 31.296677	 -82.878067                                                                                                   
GA	13005	00344784	Bacon County	670556131	69720651	     258.903	      26.919	 31.563327	 -82.387859                                                                                                      
GA	13007	00342832	Baker County	885630009	18634073	     341.944	       7.195	 31.319580	 -84.454881                                                                                                      
GA	13009	00345255	Baldwin County	669822405	25008132	     258.620	       9.656	 33.059504	 -83.255452                                                                                                    
GA	13011	00349230	Banks County	601112294	4651147	     232.091	       1.796	 34.351922	 -83.498441                                                                                                       
GA	13013	00356976	Barrow County	415375392	6640880	     160.377	       2.564	 33.992009	 -83.712303                                                                                                      
GA	13015	00351604	Bartow County	1190219094	27368340	     459.546	      10.567	 34.240917	 -84.838188                                                                                                    
GA	13017	00351606	Ben Hill County	647809289	9807002	     250.121	       3.787	 31.740775	 -83.147190                                                                                                    
GA	13019	00326638	Berrien County	1170431627	15479200	     451.906	       5.977	 31.274308	 -83.231906                                                                                                   
GA	13021	01672039	Bibb County	646881214	14512477	     249.762	       5.603	 32.808844	 -83.694193                                                                                                       
GA	13023	00347451	Bleckley County	559100207	8447351	     215.870	       3.262	 32.435403	 -83.331717                                                                                                    
GA	13025	00351605	Brantley County	1145716325	12532560	     442.364	       4.839	 31.197334	 -81.982978                                                                                                  
GA	13027	00345518	Brooks County	1277108510	12188429	     493.094	       4.706	 30.822934	 -83.581905                                                                                                    
GA	13029	00350496	Bryan County	1129165098	47870064	     435.973	      18.483	 32.017969	 -81.438543                                                                                                     
GA	13031	00350302	Bulloch County	1742659416	40872090	     672.845	      15.781	 32.393408	 -81.743810                                                                                                   
GA	13033	00347944	Burke County	2141836290	20758798	     826.968	       8.015	 33.050819	 -82.011571                                                                                                     
GA	13035	00352295	Butts County	477599409	9425065	     184.402	       3.639	 33.290355	 -83.958221                                                                                                       
GA	13037	00344074	Calhoun County	726147297	8315728	     280.367	       3.211	 31.521279	 -84.626290                                                                                                     
GA	13039	01671316	Camden County	1588171685	436849688	     613.197	     168.669	 30.913347	 -81.642001                                                                                                   
GA	13043	00342852	Candler County	629495388	15043723	     243.050	       5.808	 32.403997	 -82.071310                                                                                                    
GA	13045	00326650	Carroll County	1292642959	12284897	     499.092	       4.743	 33.582237	 -85.080527                                                                                                   
GA	13047	00353230	Catoosa County	419999394	771159	     162.163	       0.298	 34.899393	 -85.137353                                                                                                      
GA	13049	00357747	Charlton County	2003652477	22681772	     773.615	       8.757	 30.779904	 -82.139644                                                                                                  
GA	13051	01694477	Chatham County	1105168782	532382555	     426.708	     205.554	 31.980523	 -81.085190                                                                                                  
GA	13053	00351012	Chattahoochee County	644223515	6292717	     248.736	       2.430	 32.347445	 -84.788021                                                                                               
GA	13055	00352213	Chattooga County	811512413	570807	     313.327	       0.220	 34.474178	 -85.345289                                                                                                    
GA	13057	01685718	Cherokee County	1092141193	32963099	     421.678	      12.727	 34.244317	 -84.475057                                                                                                  
GA	13059	01672699	Clarke County	308738478	4741270	     119.205	       1.831	 33.952185	 -83.367152                                                                                                      
GA	13061	00344805	Clay County	506035694	56603701	     195.381	      21.855	 31.619831	 -84.992583                                                                                                       
GA	13063	01672399	Clayton County	366748529	7063449	     141.602	       2.727	 33.542686	 -84.355573                                                                                                     
GA	13065	00351285	Clinch County	2072566627	61565581	     800.222	      23.771	 30.917653	 -82.702614                                                                                                    
GA	13067	01686112	Cobb County	879749607	12574593	     339.673	       4.855	 33.939940	 -84.574166                                                                                                       
GA	13069	00347456	Coffee County	1490019179	70837644	     575.300	      27.351	 31.549245	 -82.844938                                                                                                    
GA	13071	00343936	Colquitt County	1409383647	32304996	     544.166	      12.473	 31.189758	 -83.769741                                                                                                  
GA	13073	00348865	Columbia County	751319916	45368325	     290.086	      17.517	 33.550551	 -82.251361                                                                                                   
GA	13075	00343878	Cook County	588328555	15664206	     227.155	       6.048	 31.152962	 -83.429567                                                                                                       
GA	13077	00326666	Coweta County	1141929899	12730333	     440.902	       4.915	 33.352897	 -84.762138                                                                                                    
GA	13079	00342918	Crawford County	841521493	3989489	     324.913	       1.540	 32.709428	 -83.979187                                                                                                    
GA	13081	00351607	Crisp County	705989189	21671085	     272.584	       8.367	 31.914753	 -83.753338                                                                                                      
GA	13083	00347465	Dade County	450605025	467844	     173.980	       0.181	 34.852424	 -85.506201                                                                                                         
GA	13085	00351312	Dawson County	546042466	9272855	     210.828	       3.580	 34.442842	 -84.173284                                                                                                      
GA	13087	00352234	Decatur County	1546584790	67412745	     597.140	      26.028	 30.878091	 -84.577894                                                                                                   
GA	13089	01687424	DeKalb County	693052824	9201253	     267.589	       3.553	 33.770661	 -84.226343                                                                                                      
GA	13091	00348116	Dodge County	1284365335	18692940	     495.896	       7.217	 32.160235	 -83.156241                                                                                                     
GA	13093	00351608	Dooly County	1015120169	13841084	     391.940	       5.344	 32.151995	 -83.807167                                                                                                     
GA	13095	00351259	Dougherty County	851140270	15396050	     328.627	       5.944	 31.532588	 -84.209040                                                                                                  
GA	13097	01686467	Douglas County	518142392	2485428	     200.056	       0.960	 33.699317	 -84.765944                                                                                                     
GA	13099	00345041	Early County	1327612226	9717177	     512.594	       3.752	 31.324191	 -84.906723                                                                                                      
GA	13101	00348092	Echols County	1074571679	15087403	     414.894	       5.825	 30.708500	 -82.836132                                                                                                    
GA	13103	00350219	Effingham County	1237246284	13537765	     477.703	       5.227	 32.361711	 -81.343337                                                                                                 
GA	13105	00347828	Elbert County	909234666	59980881	     351.057	      23.159	 34.116486	 -82.841815                                                                                                     
GA	13107	00347508	Emanuel County	1762760467	24802070	     680.606	       9.576	 32.591100	 -82.299763                                                                                                   
GA	13109	00345923	Evans County	473607497	10382490	     182.861	       4.009	 32.151902	 -81.887618                                                                                                      
GA	13111	00351094	Fannin County	1002058824	13560698	     386.897	       5.236	 34.866497	 -84.317440                                                                                                    
GA	13113	01687740	Fayette County	503398001	12847733	     194.363	       4.961	 33.412717	 -84.493941                                                                                                    
GA	13115	00353665	Floyd County	1320694712	22123874	     509.923	       8.542	 34.263677	 -85.213730                                                                                                     
GA	13117	01673358	Forsyth County	580409088	59754295	     224.097	      23.071	 34.225143	 -84.127435                                                                                                    
GA	13119	00349324	Franklin County	677301787	12803554	     261.508	       4.943	 34.375155	 -83.227290                                                                                                   
GA	13121	01694833	Fulton County	1364064364	19824081	     526.668	       7.654	 33.790034	 -84.468182                                                                                                    
GA	13123	00351260	Gilmer County	1104289499	12186867	     426.369	       4.705	 34.690541	 -84.453984                                                                                                    
GA	13125	00345642	Glascock County	372283962	1847844	     143.740	       0.713	 33.227491	 -82.606913                                                                                                    
GA	13127	01671513	Glynn County	1087271166	428514078	     419.798	     165.450	 31.212746	 -81.496517                                                                                                    
GA	13129	00356672	Gordon County	921538858	5787657	     355.808	       2.235	 34.509667	 -84.873862                                                                                                      
GA	13131	00351261	Grady County	1177231852	14846272	     454.532	       5.732	 30.875891	 -84.245066                                                                                                     
GA	13133	00348672	Greene County	1003451792	48629720	     387.435	      18.776	 33.576819	 -83.167102                                                                                                    
GA	13135	01688166	Gwinnett County	1114861845	16381091	     430.451	       6.325	 33.959099	 -84.022949                                                                                                  
GA	13137	00351383	Habersham County	716754681	5917226	     276.741	       2.285	 34.635108	 -83.526406                                                                                                   
GA	13139	01686953	Hall County	1017305163	94563088	     392.784	      36.511	 34.317588	 -83.818497                                                                                                      
GA	13141	00348209	Hancock County	1220057466	17479735	     471.067	       6.749	 33.269220	 -83.000465                                                                                                   
GA	13143	00350637	Haralson County	730804126	2616002	     282.165	       1.010	 33.795165	 -85.220062                                                                                                    
GA	13145	00326700	Harris County	1201461944	23488481	     463.887	       9.069	 32.731549	 -84.912432                                                                                                    
GA	13147	01687995	Hart County	601903624	63588442	     232.396	      24.552	 34.348733	 -82.963290                                                                                                       
GA	13149	00347067	Heard County	766718873	13112095	     296.032	       5.063	 33.290968	 -85.139594                                                                                                      
GA	13151	01671894	Henry County	834398851	11353184	     322.163	       4.383	 33.452881	 -84.154440                                                                                                      
GA	13153	01671693	Houston County	972671323	11319304	     375.551	       4.370	 32.458381	 -83.662856                                                                                                    
GA	13155	00352302	Irwin County	917744030	21807456	     354.343	       8.420	 31.604306	 -83.277037                                                                                                      
GA	13157	00349570	Jackson County	879716306	8906799	     339.660	       3.439	 34.134157	 -83.565133                                                                                                     
GA	13159	00346144	Jasper County	953541458	13727203	     368.164	       5.300	 33.318128	 -83.689505                                                                                                     
GA	13161	01687999	Jeff Davis County	856624688	12052223	     330.745	       4.653	 31.811615	 -82.636825                                                                                                 
GA	13163	00345714	Jefferson County	1363589315	8241827	     526.485	       3.182	 33.051874	 -82.419050                                                                                                  
GA	13165	00342985	Jenkins County	899449076	13452217	     347.279	       5.194	 32.794563	 -81.971524                                                                                                    
GA	13167	00346664	Johnson County	784793437	9278548	     303.010	       3.582	 32.689831	 -82.661354                                                                                                     
GA	13169	00345367	Jones County	1020281727	3842679	     393.933	       1.484	 33.020226	 -83.562339                                                                                                      
GA	13171	00326713	Lamar County	475262689	6046028	     183.500	       2.334	 33.074460	 -84.146721                                                                                                       
GA	13173	00348102	Lanier County	479903181	37546552	     185.292	      14.497	 31.038197	 -83.063164                                                                                                     
GA	13175	00346568	Laurens County	2090902617	28925882	     807.302	      11.168	 32.393220	 -82.926317                                                                                                   
GA	13177	00343390	Lee County	921723018	15318713	     355.879	       5.915	 31.818419	 -84.146681                                                                                                        
GA	13179	00357095	Liberty County	1270160319	290378400	     490.412	     112.116	 31.807296	 -81.457864                                                                                                  
GA	13181	01688000	Lincoln County	544880756	121517071	     210.380	      46.918	 33.792151	 -82.448299                                                                                                   
GA	13183	00326719	Long County	1036970279	8901385	     400.376	       3.437	 31.749563	 -81.742870                                                                                                       
GA	13185	00326720	Lowndes County	1284858695	37525463	     496.087	      14.489	 30.833127	 -83.268992                                                                                                   
GA	13187	00357196	Lumpkin County	732793135	3273364	     282.933	       1.264	 34.568135	 -83.998906                                                                                                     
GA	13189	00348794	McDuffie County	666825167	23116183	     257.463	       8.925	 33.482464	 -82.473188                                                                                                   
GA	13191	00356886	McIntosh County	1098984242	387392530	     424.320	     149.573	 31.482978	 -81.370199                                                                                                 
GA	13193	00346957	Macon County	1037654095	13859174	     400.641	       5.351	 32.366216	 -84.052162                                                                                                     
GA	13195	01688004	Madison County	731184761	8484186	     282.312	       3.276	 34.128484	 -83.203644                                                                                                     
GA	13197	00344107	Marion County	947978202	3791370	     366.016	       1.464	 32.359538	 -84.529561                                                                                                      
