Last Report Year,NTD ID,UZA,Legacy NTD ID,Agency Name,Agency Status,Reporter Type,Reporting Module,City,State,Census Year,UZA Name,UACE Code,UZA Area SQ Miles,UZA Population,2022 Status,Mode,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
2022,2,96,2,Spokane Transit Authority (STA),Active,Full Reporter,Urban,Spokane,WA,2020,"Spokane, WA",83764,171.67,447279,Existing 2022,VP,101727,164302,207079,215859,2876,972,845,880,230,371,431207,424,471493,210363,484741,557353,0,711964,264999,234537,189909,313593,789197,6086,5054,410176,273552,385936,203490,9554,391083
2022,3,14,3,Pierce County Transportation Benefit Area Authority (Pierce Transit),Active,Full Reporter,Urban,Lakewood,WA,2020,"Seattle--Tacoma, WA",80389,982.52,3544011,Existing 2022,CB,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
2022,3,14,3,Pierce County Transportation Benefit Area Authority (Pierce Transit),Active,Full Reporter,Urban,Lakewood,WA,2020,"Seattle--Tacoma, WA",80389,982.52,3544011,Existing 2022,DR,661197,1891878,,,402504,428930,,,,,1890995,1002697,3125692,3411307,1946302,1004679,1025353,0,193725,1345,1984147,814760,2614067,11584,2418440,248110,33962,1964902,52409,0,0
2022,3,14,3,Pierce County Transportation Benefit Area Authority (Pierce Transit),Active,Full Reporter,Urban,Lakewood,WA,2020,"Seattle--Tacoma, WA",80389,982.52,3544011,Existing 2022,MB,24733469,5029985,10305823,11365526,6712607,14928079,18506881,19751031,30020082,5484909,9844906,4705138,16907833,17021735,11601783,17384703,21875998,11546273,13647469,8519183,4012371,9506249,13417285,15771515,10075987,11763852,31439584,28286437,21885556,57534039,45755314
2022,3,14,3,Pierce County Transportation Benefit Area Authority (Pierce Transit),Active,Full Reporter,Urban,Lakewood,WA,2020,"Seattle--Tacoma, WA",80389,982.52,3544011,Existing 2022,VP,,,,,,651531,,,,,615446,190077,1153724,853868,942714,1483619,692606,1636717,0,0,543928,633699,236632,1984202,1909674,1644422,849315,2351354,77048,29310,213
2022,4,#N/A,0T04,Confederated Tribes of the Colville Indian Reservation,Active,Reduced Reporter,Tribe,Nespelem,WA,2020,Washington Non-UZA,53,0,1895776,Existing 2022,FB,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
2022,4,#N/A,0T04,Confederated Tribes of the Colville Indian Reservation,Active,Reduced Reporter,Tribe,Nespelem,WA,2020,Washington Non-UZA,53,0,1895776,Existing 2022,MB,,,,,,,,,,,,,,,,,,,,,,,,165225,0,0,242282,0,0,41724,0
2022,4,#N/A,0T04,Confederated Tribes of the Colville Indian Reservation,Active,Reduced Reporter,Tribe,Nespelem,WA,2020,Washington Non-UZA,53,0,1895776,Existing 2022,OT,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
2022,5,14,5,City of Everett (ET),Active,Full Reporter,Urban,Everett,WA,2020,"Seattle--Tacoma, WA",80389,982.52,3544011,Existing 2022,DR,396144,503709,124595,102354,207058,37978,28728,1072205,472186,1180919,2165,585114,8173,5231,0,1255152,46532,0,0,238563,16906,786254,0,0,261649,3156,429190,31544,1819510,0,0
2022,5,14,5,City of Everett (ET),Active,Full Reporter,Urban,Everett,WA,2020,"Seattle--Tacoma, WA",80389,982.52,3544011,Existing 2022,MB,1243396,1233884,855467,156476,1080105,2339658,503116,7320253,11109438,22331849,7706545,1240673,218498,692638,4548879,3787028,1815755,4902828,524474,2247412,1508761,5365123,129723,308900,505026,3304232,5306248,6205323,1566674,2351813,945068
2022,6,248,6,City of Yakima (YT),Active,Full Reporter,Urban,Yakima,WA,2020,"Yakima, WA",97507,55.77,133145,Existing 2022,CB,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
2022,6,248,6,City of Yakima (YT),Active,Full Reporter,Urban,Yakima,WA,2020,"Yakima, WA",97507,55.77,133145,Existing 2022,DR,,,,,,,,,,,0,0,0,0,73482,0,245598,0,191193,0,19004,0,387713,0,719216,0,0,0,0,0,0
2022,6,248,6,City of Yakima (YT),Active,Full Reporter,Urban,Yakima,WA,2020,"Yakima, WA",97507,55.77,133145,Existing 2022,MB,1476533,3064490,1756270,55943,64309,374563,233996,900187,46357,221811,2317738,26180,1132722,241670,2180169,14751,1448144,478905,2009894,422159,219303,6373,1297959,17827,1451995,2045008,200524,515648,11389,33361,5946146
2022,6,248,6,City of Yakima (YT),Active,Full Reporter,Urban,Yakima,WA,2020,"Yakima, WA",97507,55.77,133145,Existing 2022,VP,,,,,,,,,,,73801,190398,0,234365,0,0,276446,153609,0,0,55781,168170,0,0,0,92861,0,0,0,0,
2022,7,151,7,Lane Transit District (LTD),Active,Full Reporter,Urban,Eugene,OR,2020,"Eugene, OR",28117,73.49,270179,Existing 2022,DR,,,,,,,116860,274487,,355711,605727,419428,2130607,3029710,62634,1023306,2000,4096,667438,830592,801897,11871,119095,203407,985798,409826,622,774348,282478,1286684,69863
2022,7,151,7,Lane Transit District (LTD),Active,Full Reporter,Urban,Eugene,OR,2020,"Eugene, OR",28117,73.49,270179,Existing 2022,DT,,,,,,,,,,,,,,,,,,,0,0,14184,10321,57276,0,0,0,0,0,,,
2022,7,151,7,Lane Transit District (LTD),Active,Full Reporter,Urban,Eugene,OR,2020,"Eugene, OR",28117,73.49,270179,Existing 2022,MB,326358,521254,6133712,879111,2915121,6657195,8862766,7356761,2470419,2748988,4385640,9753009,11251735,7269633,13261472,16837022,11409443,12298790,28771033,5989452,16248814,2016688,2385348,8531060,38917844,6416930,3824926,1606818,8781794,16491701,6238053
2022,7,151,7,Lane Transit District (LTD),Active,Full Reporter,Urban,Eugene,OR,2020,"Eugene, OR",28117,73.49,270179,Existing 2022,RB,,,,,,,,,,,,,,,,,,,,5722917,2587189,1149051,8497800,16489684,7480256,29332864,7000833,789043,528897,5489460,39205
2022,7,151,7,Lane Transit District (LTD),Active,Full Reporter,Urban,Eugene,OR,2020,"Eugene, OR",28117,73.49,270179,Existing 2022,VP,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,8,24,8,Tri-County Metropolitan Transportation District of Oregon (TriMet),Active,Full Reporter,Urban,Portland,OR,2020,"Portland, OR--WA",71317,519.3,2104238,Existing 2022,AR,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
2022,8,24,8,Tri-County Metropolitan Transportation District of Oregon (TriMet),Active,Full Reporter,Urban,Portland,OR,2020,"Portland, OR--WA",71317,519.3,2104238,Existing 2022,CC,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
2022,8,24,8,Tri-County Metropolitan Transportation District of Oregon (TriMet),Active,Full Reporter,Urban,Portland,OR,2020,"Portland, OR--WA",71317,519.3,2104238,Existing 2022,CR,,,,,,,,,,,0,,,,,,,,,0,0,0,0,0,,,,,,,
2022,8,24,8,Tri-County Metropolitan Transportation District of Oregon (TriMet),Active,Full Reporter,Urban,Portland,OR,2020,"Portland, OR--WA",71317,519.3,2104238,Existing 2022,DR,,1925327,1567119,2186501,2117115,1649196,4605363,2556407,1944736,2291743,3661370,649238,181662,358128,100830,2878474,3803267,4107696,603513,7984249,4308604,6211032,792939,3578442,5039985,2743682,1444726,2706535,4317782,81612,0
2022,8,24,8,Tri-County Metropolitan Transportation District of Oregon (TriMet),Active,Full Reporter,Urban,Portland,OR,2020,"Portland, OR--WA",71317,519.3,2104238,Existing 2022,DT,,,,,,,,,,,0,,,,,51623745,82001968,28679624,710579,0,0,0,0,0,0,0,0,0,,,
2022,8,24,8,Tri-County Metropolitan Transportation District of Oregon (TriMet),Active,Full Reporter,Urban,Portland,OR,2020,"Portland, OR--WA",71317,519.3,2104238,Existing 2022,FB,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
2022,8,24,8,Tri-County Metropolitan Transportation District of Oregon (TriMet),Active,Full Reporter,Urban,Portland,OR,2020,"Portland, OR--WA",71317,519.3,2104238,Existing 2022,HR,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
2022,8,24,8,Tri-County Metropolitan Transportation District of Oregon (TriMet),Active,Full Reporter,Urban,Portland,OR,2020,"Portland, OR--WA",71317,519.3,2104238,Existing 2022,IP,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
2022,8,24,8,Tri-County Metropolitan Transportation District of Oregon (TriMet),Active,Full Reporter,Urban,Portland,OR,2020,"Portland, OR--WA",71317,519.3,2104238,Existing 2022,JT,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
2022,8,24,8,Tri-County Metropolitan Transportation District of Oregon (TriMet),Active,Full Reporter,Urban,Portland,OR,2020,"Portland, OR--WA",71317,519.3,2104238,Existing 2022,LR,14265667,44255896,108727952,221949435,233664553,235690498,174714374,60938525,111521414,85558886,125390322,99422935,72894711,35831746,43293116,133417321,227708430,169234635,64297022,94036777,229999883,343627162,336803746,198323720,61522536,35293493,31735597,35517609,54900814,51946486,102462055
2022,8,24,8,Tri-County Metropolitan Transportation District of Oregon (TriMet),Active,Full Reporter,Urban,Portland,OR,2020,"Portland, OR--WA",71317,519.3,2104238,Existing 2022,MB,15592963,13641890,11989251,18473327,12711541,8100833,34734394,47289289,14994183,30226133,10588487,30666394,12893164,3428286,19703745,2098669,4010647,18040468,9891682,9665448,18332621,39995440,52781788,46916179,66929644,45872015,83860535,132127614,152675204,115660262,130156621
2022,8,24,8,Tri-County Metropolitan Transportation District of Oregon (TriMet),Active,Full Reporter,Urban,Portland,OR,2020,"Portland, OR--WA",71317,519.3,2104238,Existing 2022,MG,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
2022,8,24,8,Tri-County Metropolitan Transportation District of Oregon (TriMet),Active,Full Reporter,Urban,Portland,OR,2020,"Portland, OR--WA",71317,519.3,2104238,Existing 2022,OR,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
2022,8,24,8,Tri-County Metropolitan Transportation District of Oregon (TriMet),Active,Full Reporter,Urban,Portland,OR,2020,"Portland, OR--WA",71317,519.3,2104238,Existing 2022,PB,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
2022,8,24,8,Tri-County Metropolitan Transportation District of Oregon (TriMet),Active,Full Reporter,Urban,Portland,OR,2020,"Portland, OR--WA",71317,519.3,2104238,Existing 2022,SR,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
2022,8,24,8,Tri-County Metropolitan Transportation District of Oregon (TriMet),Active,Full Reporter,Urban,Portland,OR,2020,"Portland, OR--WA",71317,519.3,2104238,Existing 2022,TB,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
2022,8,24,8,Tri-County Metropolitan Transportation District of Oregon (TriMet),Active,Full Reporter,Urban,Portland,OR,2020,"Portland, OR--WA",71317,519.3,2104238,Existing 2022,TR,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
2022,8,24,8,Tri-County Metropolitan Transportation District of Oregon (TriMet),Active,Full Reporter,Urban,Portland,OR,2020,"Portland, OR--WA",71317,519.3,2104238,Existing 2022,VP,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
2022,8,24,8,Tri-County Metropolitan Transportation District of Oregon (TriMet),Active,Full Reporter,Urban,Portland,OR,2020,"Portland, OR--WA",71317,519.3,2104238,Existing 2022,YR,,,,,,,,,,,,,,,,,,,,2861661,565100,257107,224808,520921,186523,0,0,0,0,0,0
2022,9,#N/A,0T09,Kalispel Tribe of Indians (KTI),Active,Reduced Reporter,Tribe,Cusick,WA,2020,Washington Non-UZA,53,0,1895776,Existing 2022,DR,,,,,,,,,,,,,,,,,,,,,,,,0,0,43367,56691,0,0,0,
2022,9,#N/A,0T09,Kalispel Tribe of Indians (KTI),Active,Reduced Reporter,Tribe,Cusick,WA,2020,Washington Non-UZA,53,0,1895776,Existing 2022,MB,,,,,,,,,,,,,,,,,,,,,,,,277053,0,0,93323,227170,12060,16794,0
2022,10,#N/A,0T10,Klamath Tribes (KT),Active,Reduced Reporter,Tribe,Chiloquin,OR,2020,Oregon Non-UZA,41,0,1553447,Existing 2022,CB,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
2022,10,#N/A,0T10,Klamath Tribes (KT),Active,Reduced Reporter,Tribe,Chiloquin,OR,2020,Oregon Non-UZA,41,0,1553447,Existing 2022,DR,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,145000,0,0,0
2022,10,#N/A,0T10,Klamath Tribes (KT),Active,Reduced Reporter,Tribe,Chiloquin,OR,2020,Oregon Non-UZA,41,0,1553447,Existing 2022,MB,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
2022,11,108,11,Valley Regional Transit (VRT),Active,Full Reporter,Urban,Meridian,ID,2020,"Boise City, ID",8785,139.23,433180,Existing 2022,DR,,,,,,,,,,,37002,462930,0,13630,23367,21420,55871,140739,9736,739149,60592,1605,67829,74047,46915,177948,0,354883,580474,350204,0
2022,11,108,11,Valley Regional Transit (VRT),Active,Full Reporter,Urban,Meridian,ID,2020,"Boise City, ID",8785,139.23,433180,Existing 2022,MB,23005,498091,96005,4830113,1654675,711272,1851719,525522,442959,2785249,4164914,221737,253288,1000158,320603,423350,1312546,975072,495757,2557567,8022518,5570846,6138127,9628641,6264488,4670748,477924,1557663,444079,5395770,5750920
2022,12,149,12,Municipality of Anchorage (MOA PTD),Active,Full Reporter,Urban,Anchorage,AK,2020,"Anchorage, AK",2305,91.69,249252,Existing 2022,DR,,179390,172487,,404530,672291,650314,20990,242810,451969,626279,11057,13414,1403811,990160,2031350,3395255,364751,702804,689220,4538,571171,750591,13934,890938,0,0,140166,1812458,103795,1743669
2022,12,149,12,Municipality of Anchorage (MOA PTD),Active,Full Reporter,Urban,Anchorage,AK,2020,"Anchorage, AK",2305,91.69,249252,Existing 2022,MB,32661,548960,817131,394175,5056863,818282,914701,10466797,712240,646558,1332965,1478624,3411017,1612497,1672971,2108877,7384773,3849577,10050550,5929696,3575055,6315309,1399625,1311737,803896,2336655,2431744,2291427,1453020,1866654,7279906
2022,12,149,12,Municipality of Anchorage (MOA PTD),Active,Full Reporter,Urban,Anchorage,AK,2020,"Anchorage, AK",2305,91.69,249252,Existing 2022,VP,,,,,60000,,195000,297,197831,,508177,0,0,361913,1011488,0,248679,178034,1241116,16859,510757,626604,221640,0,0,0,0,0,0,0,0
2016,13,#N/A,TR27-001,Orutsararmiut Native Council ,Inactive,Reduced Reporter,,,AK,2010,Alaska Non-UZA,2,0,359299,Pre 2022,MB,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
2022,14,#N/A,0T14,Sitka Tribe of Alaska (STA),Active,Reduced Reporter,Tribe,Sitka,AK,2020,Alaska Non-UZA,2,0,359299,Existing 2022,MB,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,480626,0,0
2022,15,#N/A,0T15,Snoqualmie Indian Tribe,Active,Reduced Reporter,Tribe,Snoqualmie,WA,2020,Washington Non-UZA,53,0,1895776,Existing 2022,DR,,,,,,,,,,,,,,,,,,,,,,,,19590,0,0,0,0,28429,0,0
2022,16,431,16,RiverCities Transit (RCT),Active,Full Reporter,Urban,Longview,WA,2020,"Longview, WA--OR",51283,35.19,69841,Existing 2022,CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2022,16,431,16,RiverCities Transit (RCT),Active,Full Reporter,Urban,Longview,WA,2020,"Longview, WA--OR",51283,35.19,69841,Existing 2022,DR,,,,,,,156396,,156761,,0,67171,261361,0,0,266720,0,40742,161588,82366,79017,112931,247038,17187,8011,0,315756,0,330070,0,0
2022,16,431,16,RiverCities Transit (RCT),Active,Full Reporter,Urban,Longview,WA,2020,"Longview, WA--OR",51283,35.19,69841,Existing 2022,MB,258500,341066,446350,,,7609,249012,,,154857,1069772,590077,5309,0,21300,28740,103590,434549,79878,619384,176040,2910206,512585,265815,76698,330285,218030,2278851,2856096,656629,97204
2022,16,431,16,RiverCities Transit (RCT),Active,Full Reporter,Urban,Longview,WA,2020,"Longview, WA--OR",51283,35.19,69841,Existing 2022,VP,,,,,,,,,,,,,,,,,,,,,,,,117511,0,0,,,,,
2022,17,#N/A,0T17,Stillaguamish Tribe of Indians,Active,Reduced Reporter,Tribe,Arlington,WA,2020,Washington Non-UZA,53,0,1895776,Existing 2022,DR,,,,,,,,,,,,,,,,,,,,,,,,0,0,65842,0,0,138777,0,0
2022,17,#N/A,0T17,Stillaguamish Tribe of Indians,Active,Reduced Reporter,Tribe,Arlington,WA,2020,Washington Non-UZA,53,0,1895776,Existing 2022,VP,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,249937,0,,
2022,18,171,18,Ben Franklin Transit (BFT),Active,Full Reporter,Urban,Richland,WA,2020,"Kennewick--Richland--Pasco, WA",44479,112.21,255401,Existing 2022,DR,613495,,,,821463,73537,,,,,135260,1423945,,2041100,1073033,0,0,1766973,139960,19540,55233,0,2439772,1506840,0,53062,3177751,286028,3236159,99999,186085
2022,18,171,18,Ben Franklin Transit (BFT),Active,Full Reporter,Urban,Richland,WA,2020,"Kennewick--Richland--Pasco, WA",44479,112.21,255401,Existing 2022,DT,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,
2022,18,171,18,Ben Franklin Transit (BFT),Active,Full Reporter,Urban,Richland,WA,2020,"Kennewick--Richland--Pasco, WA",44479,112.21,255401,Existing 2022,MB,1537837,,167784,1178216,,277182,201322,,69269,893599,35593,2019690,,3690447,2848620,1918372,1199992,4253092,5499271,1388405,0,1550000,2618975,6243460,1957858,1617195,10315906,2622511,1880620,3951620,9129253
2022,18,171,18,Ben Franklin Transit (BFT),Active,Full Reporter,Urban,Richland,WA,2020,"Kennewick--Richland--Pasco, WA",44479,112.21,255401,Existing 2022,VP,,53218,,,350680,,,,,,0,597422,,411154,299574,792387,3158771,336889,843145,0,0,308823,1532309,0,0,1849282,251513,265206,0,0,0
2022,19,195,19,Intercity Transit (I.T.),Active,Full Reporter,Urban,Olympia,WA,2020,"Olympia--Lacey, WA",65242,106.21,208157,Existing 2022,CB,,,,,,,,,,,,,,,,,,,,,0,61781,2111725,0,0,0,0,0,0,0,0
2022,19,195,19,Intercity Transit (I.T.),Active,Full Reporter,Urban,Olympia,WA,2020,"Olympia--Lacey, WA",65242,106.21,208157,Existing 2022,DR,,,,,,,,,279170,592884,445604,247118,1568297,859352,725279,705006,749019,678651,0,1838543,4256,1511329,49656,0,0,9202,1691492,0,1666567,138822,463
2022,19,195,19,Intercity Transit (I.T.),Active,Full Reporter,Urban,Olympia,WA,2020,"Olympia--Lacey, WA",65242,106.21,208157,Existing 2022,MB,1070268,6072845,4665675,2830913,2757524,1102788,3861791,259985,139254,504480,131859,616447,2515511,8268828,2963082,10186114,1354059,1970351,6758971,1328732,11808672,311254,5479106,828263,1113026,4825927,4740103,25208226,20777825,35112196,32574685
2022,19,195,19,Intercity Transit (I.T.),Active,Full Reporter,Urban,Olympia,WA,2020,"Olympia--Lacey, WA",65242,106.21,208157,Existing 2022,VP,281364,,,,,,,249828,215141,184665,418473,451968,502677,1110302,720862,985708,1054634,1103316,129694,1130173,710576,1367938,1306211,988624,1115525,294,861385,1810821,389698,12828,32895
2022,20,180,20,Kitsap Transit,Active,Full Reporter,Urban,Bremerton,WA,2020,"Bremerton, WA",9946,146.91,224449,Existing 2022,DR,,30292,221506,725369,168485,,,221344,2369684,22475,2069705,1686147,1184045,479990,9524,18550,1309983,1348505,0,0,38974,1139047,419386,575813,1493955,1490028,124066,1268202,986518,717796,0
2022,20,180,20,Kitsap Transit,Active,Full Reporter,Urban,Bremerton,WA,2020,"Bremerton, WA",9946,146.91,224449,Existing 2022,DT,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,
2022,20,180,20,Kitsap Transit,Active,Full Reporter,Urban,Bremerton,WA,2020,"Bremerton, WA",9946,146.91,224449,Existing 2022,FB,,,,,,,,,,,1285050,1651083,1560723,3278442,1575950,1908771,1839371,5245371,1307195,2637698,2324880,1297184,2459568,1103200,1732739,1713705,23955023,22347371,12982210,6034854,6980426
2022,20,180,20,Kitsap Transit,Active,Full Reporter,Urban,Bremerton,WA,2020,"Bremerton, WA",9946,146.91,224449,Existing 2022,MB,310592,417711,2550312,3984636,1705273,4262701,5982843,23566242,10456210,5830482,1739932,11733598,11715261,5480146,801725,3313816,2944767,8482378,4634237,4181877,3851555,934986,2247753,8900889,15977538,3509470,10464058,21587996,7772022,6093426,10110800
2022,20,180,20,Kitsap Transit,Active,Full Reporter,Urban,Bremerton,WA,2020,"Bremerton, WA",9946,146.91,224449,Existing 2022,OR,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
2022,20,180,20,Kitsap Transit,Active,Full Reporter,Urban,Bremerton,WA,2020,"Bremerton, WA",9946,146.91,224449,Existing 2022,VP,30749,869245,,461699,695975,,,152318,,,1352205,168035,681809,347511,714824,37184,259922,1874165,0,0,0,0,0,0,138112,90033,215128,0,0,0,0
2022,21,275,21,Whatcom Transportation Authority (WTA),Active,Full Reporter,Urban,Bellingham,WA,2020,"Bellingham, WA",6652,50.13,128979,Existing 2022,DR,,,192988,490971,823416,345648,,,,,1278579,126970,451459,319316,141208,2386015,125638,1070174,857661,657330,1187034,824599,1538261,602291,1290836,579476,1342295,294154,2088581,317640,0
2022,21,275,21,Whatcom Transportation Authority (WTA),Active,Full Reporter,Urban,Bellingham,WA,2020,"Bellingham, WA",6652,50.13,128979,Existing 2022,DT,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,
2022,21,275,21,Whatcom Transportation Authority (WTA),Active,Full Reporter,Urban,Bellingham,WA,2020,"Bellingham, WA",6652,50.13,128979,Existing 2022,MB,661209,1006245,5635338,4517544,679794,1058113,6296178,2902744,2912718,8105925,1452865,1999728,2587287,1121021,1743222,7698258,1820920,11955346,4404084,3627860,382748,4690430,2334573,1255518,4783109,983274,1573173,6497563,2208473,12287322,6959918
2022,21,275,21,Whatcom Transportation Authority (WTA),Active,Full Reporter,Urban,Bellingham,WA,2020,"Bellingham, WA",6652,50.13,128979,Existing 2022,VP,,,,206466,,,,,,,,,,,,,,186370,49598,173020,249269,322470,133295,0,0,0,0,0,109746,0,0
2022,22,395,22,City of Pocatello (PRT),Active,Reduced Reporter,Urban,Pocatello,ID,2020,"Pocatello, ID",70426,27.46,72211,Existing 2022,DR,42598,,,104493,1694,8645,,,,,135744,0,0,55542,5036,340182,289794,27357,1053055,8421,55974,5821,259088,69481,3000,496763,165473,897223,14026,25659,98165
2022,22,395,22,City of Pocatello (PRT),Active,Reduced Reporter,Urban,Pocatello,ID,2020,"Pocatello, ID",70426,27.46,72211,Existing 2022,MB,17323,9171,,8913,44577,66975,211894,1048933,84421,235376,25863,49357,16213,23612,0,633804,366639,0,1086836,278918,0,385752,4739099,265162,14684,11975,543621,259832,70470,22659,485110
